id_tempo,data,ano_adicao,mes_adicao,nome_mes
503,2017-12-12,2017,12,December
504,2017-12-14,2017,12,December
505,2017-12-15,2017,12,December
506,2017-12-16,2017,12,December
507,2017-12-18,2017,12,December
508,2017-12-19,2017,12,December
509,2017-12-20,2017,12,December
510,2017-12-21,2017,12,December
511,2017-12-22,2017,12,December
512,2017-12-23,2017,12,December
513,2017-12-25,2017,12,December
514,2017-12-26,2017,12,December
515,2017-12-27,2017,12,December
516,2017-12-29,2017,12,December
517,2017-12-30,2017,12,December
518,2017-12-31,2017,12,December
519,2018-01-01,2018,1,January
520,2018-01-02,2018,1,January
521,2018-01-05,2018,1,January
522,2018-01-06,2018,1,January
523,2018-01-08,2018,1,January
524,2018-01-09,2018,1,January
525,2018-01-10,2018,1,January
526,2018-01-11,2018,1,January
527,2018-01-12,2018,1,January
528,2018-01-15,2018,1,January
529,2018-01-16,2018,1,January
530,2018-01-17,2018,1,January
531,2018-01-18,2018,1,January
532,2018-01-19,2018,1,January
533,2018-01-20,2018,1,January
534,2018-01-22,2018,1,January
535,2018-01-23,2018,1,January
536,2018-01-24,2018,1,January
537,2018-01-25,2018,1,January
538,2018-01-26,2018,1,January
539,2018-01-28,2018,1,January
540,2018-01-29,2018,1,January
541,2018-01-30,2018,1,January
542,2018-01-31,2018,1,January
543,2018-02-01,2018,2,February
544,2018-02-02,2018,2,February
545,2018-02-04,2018,2,February
546,2018-02-05,2018,2,February
547,2018-02-06,2018,2,February
548,2018-02-08,2018,2,February
549,2018-02-09,2018,2,February
550,2018-02-13,2018,2,February
551,2018-02-14,2018,2,February
552,2018-02-15,2018,2,February
553,2018-02-16,2018,2,February
554,2018-02-17,2018,2,February
555,2018-02-19,2018,2,February
556,2018-02-20,2018,2,February
557,2018-02-21,2018,2,February
558,2018-02-22,2018,2,February
559,2018-02-23,2018,2,February
560,2018-02-24,2018,2,February
561,2018-02-25,2018,2,February
562,2018-02-26,2018,2,February
563,2018-02-27,2018,2,February
564,2018-02-28,2018,2,February
565,2018-03-01,2018,3,March
566,2018-03-02,2018,3,March
567,2018-03-04,2018,3,March
568,2018-03-05,2018,3,March
569,2018-03-06,2018,3,March
